player_api_id,player_name,rating_growth
357881,Adama Soumaoro,21.0
5693,Kees Kwakman,21.0
391058,Jose Gaya,21.0
91984,Valentin Stocker,20.900000000000006
413557,Anthony Martial,20.900000000000006
46820,Matteo Darmian,20.875
24583,Bradley Johnson,20.85714285714286
150268,Andre Almeida,20.799999999999997
168727,Artur Ionita,20.799999999999997
361403,Karol Linetty,20.799999999999997
363333,Dele Alli,20.75
45749,Benat Etxebarria,20.75
185175,Kevin Kampl,20.66666666666667
324578,Rodrigo De Paul,20.66666666666667
165952,Marco Silvestri,20.57142857142857
293235,Achraf Lazaar,20.5
206830,Bartlomiej Pawlowski,20.5
150045,Ruben Micael,20.5
94321,Prince Oniangue,20.5
31097,Luka Modric,20.5
24077,David Buchanan,20.5
39965,Paul Baysse,20.5
115143,Mariusz Przybylski,20.5
119541,Geoff Cameron,20.5
26364,Sigamary Diarra,20.5
15403,Edin Dzeko,20.5
179511,Younes Belhanda,20.5
178765,Davy Proepper,20.5
41350,Luigi Vitale,20.5
105327,Lauri Dalla Valle,20.5
39273,Gennaro Sardo,20.5
147958,Marvin Martin,20.5
93447,Robert Lewandowski,20.5
150236,Jeroen Zoet,20.5
210387,Alexandre Letellier,20.5
155384,Mark Davies,20.5
95082,Eric Maxim Choupo-Moting,20.5
163971,Didac Vila,20.5
42693,Julien Palmieri,20.5
134236,Tino Costa,20.5
111858,Daniel Opare,20.5
172901,Peniel Kokou Mlapa,20.5
23030,Damien Delaney,20.5
145551,Roman Neustaedter,20.444444444444443
51545,Jose Salomon Rondon,20.400000000000006
177714,Mario Goetze,20.375
246575,Raheem Sterling,20.33333333333333
196308,Matej Vydra,20.33333333333333
47563,Fernando Martin Forestieri,20.285714285714292
160844,Jaume Costa,20.25
178758,Bram Nuytinck,20.22222222222223
172346,Guus Hupperts,20.200000000000003
74034,Francesco Magnanelli,20.200000000000003
104911,Jem Karacan,20.200000000000003
274623,Hector Herrera,20.16666666666667
166932,Marcel Correia,20.16666666666667
201939,Cedric Bakambu,20.14285714285714
36889,Sandro Wagner,20.14285714285714
68400,Andrew Shinnie,20.07142857142857
35439,Derek Asamoah,20.0
362694,Luke Shaw,20.0
31241,Henrik Dalsgaard,20.0
363340,Dwight Gayle,20.0
24903,Russell Martin,20.0
35112,Simon Kjaer,20.0
34319,Aimo Stefano Diana,20.0
34225,Tomasz Kupisz,20.0
293160,Elseid Hysaj,20.0
26222,Gaetan Bong,20.0
26332,Moussa Sow,20.0
170322,Koen Casteels,20.0
147959,Yoric Ravet,20.0
93984,Jamel Saihi,20.0
146830,Joel Ward,20.0
42692,Daniele Padelli,20.0
80492,Javi Moreno Marquez,20.0
210390,Vincent Pajot,20.0
95331,Jay Spearing,20.0
148325,Kristof van Hout,20.0
154233,Paul Bastien Lasne,20.0
69043,Marcin Pietrowski,20.0
69061,Piotr Wisniewski,20.0
23839,Sone Aluko,20.0
155254,Francesco Caputo,20.0
2977,David Rivas Rodriguez,20.0
177760,Billy McKay,20.0
257865,William Carvalho,20.0
178732,Lukasz Skorupski,20.0
414854,Riccardo Gagliolo,20.0
38067,Chris Gunter,20.0
33817,Reginaldo,20.0
276121,Ben Davies,20.0
39968,Gabriel Obertan,20.0
40730,Christophe Jallet,20.0
41852,Claiton Dos Santos,20.0
241498,Matthew Kennedy,20.0
213805,Vitolo,20.0
103468,Johny Placide,20.0
230476,Gino Peruzzi,20.0
96646,Massimo Volta,20.0
195305,Marc Bartra,20.0
207021,Trent Sainsbury,20.0
80293,Kallum Higginbotham,20.0
207236,Granit Xhaka,20.0
210956,Jesus Corona,20.0
210423,Florent Hanin,20.0
23369,Andy Wilkinson,20.0
110146,Shkodran Metaj,20.0
140497,Guillaume Katz,20.0
171094,Ashton Taylor,20.0
39549,Luca Antonini,20.0
109061,Ruud Vormer,20.0
185389,Magnus Wolff Eikrem,20.0
41478,Gabriele Perico,20.0
42003,Simone Bentivoglio,20.0
41896,Greg Tansey,20.0
37374,Sven Bender,20.0
258873,Issa Cissokho,20.0
8985,Mile Jedinak,20.0
127460,Giacomo Bonaventura,19.83333333333333
184610,Marco Rojas,19.83333333333333
178804,Christian Clemens,19.799999999999997
191906,Alejandro Arribas,19.75
282281,Denis Suarez,19.75
59595,Julian Baumgartlinger,19.75
159352,Ousmane Coulibaly,19.66666666666667
425963,Max Meyer,19.66666666666667
412762,Matias Kranevitter,19.66666666666667
214570,Jeffrey Schlupp,19.66666666666667
71399,Neven Subotic,19.599999999999994
294254,Bjorn Engels,19.5
294003,Luciano Dario Vietto,19.5
42598,Jeremain Lens,19.5
80295,Yuri Berchiche,19.5
79737,Antonio Rukavina,19.5
68813,Przemyslaw Tyton,19.5
156105,Amine Linganzi,19.5
210128,Nampalys Mendy,19.5
188465,Florentin Pogba,19.5
183185,Mario Gaspar,19.5
39719,Juan Vargas,19.5
39591,Axel Witsel,19.5
31643,David Elm,19.5
38647,Stefan Aigner,19.5
38581,Corona,19.5
33827,Inaki Goitia,19.5
116750,Ricky van Wolfswinkel,19.5
160713,Tom Cleverley,19.5
106910,Ryan Shotton,19.400000000000006
94009,Romain Bregerie,19.400000000000006
113318,Facundo Sebastian Roncaglia,19.33333333333333
140819,Steven Zuber,19.33333333333333
104404,Nill De Pauw,19.33333333333333
41083,Bruno Ecuele Manga,19.33333333333333
181203,Flavio Nunes Ferreira,19.33333333333333
40930,Adrien Silva,19.307692307692307
212643,Lorenzo Tonelli,19.25
45588,George Friend,19.25
35121,Jesper Juelsgaard,19.25
28109,Kevin McDonald,19.16666666666667
30031,Thomas Kind Bendiksen,19.15384615384616
164029,Ezequiel Munoz,19.0
207118,Daniel Royer,19.0
209413,Ben Rienstra,19.0
11758,Eliseu,19.0
183548,Stefan Scepovic,19.0
30143,Alberto Frison,19.0
169294,Oliver Feldballe,19.0
193866,Papy Djilobodji,19.0
185618,Pierrick Cros,19.0
183350,Alvaro Cejudo,19.0
192807,Samba Diakite,19.0
195207,Martin Hinteregger,19.0
212512,Jasper Cillessen,19.0
212472,Sergi Roberto,19.0
210691,Brice Dja Djedje,19.0
157561,Steven Joseph-Monrose,19.0
24793,Daniele Gastaldello,19.0
37623,Roberto,19.0
39599,Federico Marchetti,19.0
159394,Douglao,19.0
30931,Cris,19.0
147717,Sascha Bigalke,19.0
40137,Chris Humphrey,19.0
147731,Taner Yalcin,19.0
145538,Dennis Daube,19.0
151063,Coke,19.0
155623,Ryad Boudebouz,19.0
155534,Bastian Oczipka,19.0
128666,Emmanuel Imorou,19.0
141113,Dennis Diekmeier,19.0
215725,Alessandro Longhi,19.0
436036,Daniel Amartey,19.0
118528,Michu,19.0
120845,Nabil Bahoui,19.0
115585,Zaur Sadaev,19.0
121225,Muhamed Keita,19.0
254308,Florian Thauvin,19.0
112561,Boubacar Mansaly,19.0
111800,Kyle Naughton,19.0
109615,Omer Toprak,19.0
150480,Lora,19.0
26771,Jesper Joergensen,19.0
148338,Jeroen Vanthournout,19.0
150320,David Caiado,19.0
107280,Ashley Barnes,19.0
41087,Ron-Robert Zieler,19.0
260659,Ximo Navarro,19.0
40916,Nikolai Mihaylov,19.0
104382,Roberto Rosales,19.0
101501,Kyriakos Papadopoulos,19.0
104045,Bas Dost,19.0
103686,Robbie Kruse,19.0
